出生年份,问题,同意,反对,强烈同意,强烈反对
1963, 条件允许的话应该武力统一台湾。,152,157,50,27
1963, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,143,122,82,39
1963, 应该允许中国公民同时具有外国国籍。,121,189,53,23
1963, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,61,270,13,42
1963, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,190,80,100,16
1963, 最低工资应由国家规定。,130,198,32,26
1963, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,189,170,15,12
1963, 在重大工程项目的决策中，个人利益应该为社会利益让路。,198,142,15,31
1963, 浪费粮食也是个人的自由。,168,153,39,26
1963, 如果猪肉价格过高，政府应当干预。,166,151,27,42
1963, 应当对国外同类产品征收高额关税来保护国内民族工业。,137,186,10,53
1963, 教育应当尽可能公立。,137,190,18,41
1963, 国有企业的利益属于国家利益。,232,112,32,10
1963, 试图控制房地产价格的行为会破坏经济发展。,62,263,9,52
1963, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,150,99,129,8
1963, 有钱人理应获得更好的医疗服务。,79,239,15,53
1963, 高收入者应该公开自己的经济来源。,137,148,87,14
1963, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,209,94,56,27
1963, 与其让国有企业亏损破产，不如转卖给资本家。,53,190,5,138
1963, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,214,119,40,13
1963, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,139,191,30,26
1963, 私人应当可以拥有和买卖土地。,145,145,62,34
1963, 政府应当采用较高的粮食收购价格以增加农民收入。,158,160,31,37
1963, 在华外国资本应享受和民族资本同样的待遇。,111,188,8,79
1963, 市场竞争中自然形成的垄断地位是无害的。,97,227,15,47
1963, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,168,145,12,61
1963, 不应公开谈论自己长辈的缺点。,178,92,102,14
1963, 现代中国社会需要儒家思想。,117,206,25,38
1963, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,235,81,32,38
1963, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,85,245,6,50
1963, 周易八卦能够有效的解释很多事情。,183,118,52,33
1963, 中国传统医学对人体健康的观念比现代主流医学更高明。,187,144,33,22
1963, 汉字无需人为推行简化。,81,193,30,82
1963, 应当将中国传统文化的经典作品作为儿童基础教育读物。,254,91,32,9
1963, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,254,72,48,12
1902,如果人民没有受过民主教育，他们是不应该拥有普选权的。,0,0,3,1
1902, 人权高于主权。,0,0,1,3
1902, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,0,0,2,2
1902, 西方的多党制不适合中国国情。,0,0,3,1
1902, 在中国照搬西方式的言论自由会导致社会失序。,0,0,3,1
1902, 由高校自主考试招生比全国统一考试招生更好。,0,0,2,2
1902, 应该容许宗教人士在非宗教场所公开传教。,0,0,1,3
1902, 无论中小学生或大学生，都应参加由国家统一安排的军训。,0,0,4,0
1902, 国家的统一和领土完整是社会的最高利益。,0,0,3,1
1902, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,0,0,3,1
1902, 国家有义务进行对外援助。,0,0,3,1
1902, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,0,0,1,3
1902, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,0,0,3,1
1902, 应当允许媒体代表某一特定阶层或利益集团发言。,0,0,3,1
1902, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,0,0,3,1
1902, 条件允许的话应该武力统一台湾。,0,0,3,1
1902, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,0,0,1,3
1902, 应该允许中国公民同时具有外国国籍。,0,0,3,1
1902, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,0,0,1,3
1902, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,0,0,3,1
1902, 最低工资应由国家规定。,0,0,3,1
1902, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,0,0,3,1
1902, 在重大工程项目的决策中，个人利益应该为社会利益让路。,0,0,2,2
1902, 浪费粮食也是个人的自由。,0,0,1,3
1902, 如果猪肉价格过高，政府应当干预。,0,0,3,1
1902, 应当对国外同类产品征收高额关税来保护国内民族工业。,0,0,3,1
1902, 教育应当尽可能公立。,0,0,3,1
1902, 国有企业的利益属于国家利益。,0,0,0,4
1902, 试图控制房地产价格的行为会破坏经济发展。,0,0,1,3
1902, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,0,0,3,1
1902, 有钱人理应获得更好的医疗服务。,0,0,0,4
1902, 高收入者应该公开自己的经济来源。,0,0,3,1
1902, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,0,0,3,1
1902, 与其让国有企业亏损破产，不如转卖给资本家。,0,0,2,2
1902, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,0,0,4,0
1902, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,0,0,4,0
1902, 私人应当可以拥有和买卖土地。,0,0,2,2
1902, 政府应当采用较高的粮食收购价格以增加农民收入。,0,0,4,0
1902, 在华外国资本应享受和民族资本同样的待遇。,0,0,1,3
1902, 市场竞争中自然形成的垄断地位是无害的。,0,0,1,3
1902, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,0,0,3,1
1902, 不应公开谈论自己长辈的缺点。,0,0,4,0
1902, 现代中国社会需要儒家思想。,0,0,2,2
1902, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,0,0,1,3
1902, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,0,0,2,2
1902, 周易八卦能够有效的解释很多事情。,0,0,4,0
1902, 中国传统医学对人体健康的观念比现代主流医学更高明。,0,0,3,1
1902, 汉字无需人为推行简化。,0,0,3,1
1902, 应当将中国传统文化的经典作品作为儿童基础教育读物。,0,0,3,1
1902, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,0,0,2,2
1943,如果人民没有受过民主教育，他们是不应该拥有普选权的。,1,2,0,3
1943, 人权高于主权。,2,3,1,0
1943, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,3,1,0,2
1943, 西方的多党制不适合中国国情。,1,3,0,2
1943, 在中国照搬西方式的言论自由会导致社会失序。,3,2,1,0
1943, 由高校自主考试招生比全国统一考试招生更好。,2,3,0,1
1943, 应该容许宗教人士在非宗教场所公开传教。,3,2,1,0
1943, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2,3,1,0
1943, 国家的统一和领土完整是社会的最高利益。,2,0,4,0
1943, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,2,4,0,0
1943, 国家有义务进行对外援助。,2,2,1,1
1943, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,2,3,0,1
1943, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,2,4,0,0
1943, 应当允许媒体代表某一特定阶层或利益集团发言。,2,3,0,1
1943, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,2,0,4,0
1943, 条件允许的话应该武力统一台湾。,2,2,2,0
1943, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,2,3,0,1
1943, 应该允许中国公民同时具有外国国籍。,1,3,1,1
1943, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,1,5,0,0
1943, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,1,1,4,0
1943, 最低工资应由国家规定。,2,1,3,0
1943, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,5,1,0,0
1943, 在重大工程项目的决策中，个人利益应该为社会利益让路。,2,3,1,0
1943, 浪费粮食也是个人的自由。,4,2,0,0
1943, 如果猪肉价格过高，政府应当干预。,2,1,2,1
1943, 应当对国外同类产品征收高额关税来保护国内民族工业。,2,3,0,1
1943, 教育应当尽可能公立。,2,4,0,0
1943, 国有企业的利益属于国家利益。,4,2,0,0
1943, 试图控制房地产价格的行为会破坏经济发展。,0,6,0,0
1943, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,1,1,4,0
1943, 有钱人理应获得更好的医疗服务。,1,4,0,1
1943, 高收入者应该公开自己的经济来源。,1,2,1,2
1943, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,5,0,1,0
1943, 与其让国有企业亏损破产，不如转卖给资本家。,0,1,0,5
1943, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,4,1,1,0
1943, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2,3,1,0
1943, 私人应当可以拥有和买卖土地。,1,5,0,0
1943, 政府应当采用较高的粮食收购价格以增加农民收入。,2,3,0,1
1943, 在华外国资本应享受和民族资本同样的待遇。,1,2,0,3
1943, 市场竞争中自然形成的垄断地位是无害的。,3,3,0,0
1943, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,1,4,0,1
1943, 不应公开谈论自己长辈的缺点。,4,0,2,0
1943, 现代中国社会需要儒家思想。,2,2,1,1
1943, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,3,2,1,0
1943, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,3,3,0,0
1943, 周易八卦能够有效的解释很多事情。,4,0,1,1
1943, 中国传统医学对人体健康的观念比现代主流医学更高明。,5,1,0,0
1943, 汉字无需人为推行简化。,2,3,0,1
1943, 应当将中国传统文化的经典作品作为儿童基础教育读物。,6,0,0,0
1943, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,6,0,0,0
1901,如果人民没有受过民主教育，他们是不应该拥有普选权的。,21,22,15,24
1901, 人权高于主权。,19,15,30,18
1901, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,20,23,25,14
1901, 西方的多党制不适合中国国情。,15,24,20,23
1901, 在中国照搬西方式的言论自由会导致社会失序。,22,26,16,18
1901, 由高校自主考试招生比全国统一考试招生更好。,18,17,29,18
1901, 应该容许宗教人士在非宗教场所公开传教。,24,22,14,22
1901, 无论中小学生或大学生，都应参加由国家统一安排的军训。,12,17,20,33
1901, 国家的统一和领土完整是社会的最高利益。,17,20,20,25
1901, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,28,18,15,21
1901, 国家有义务进行对外援助。,22,18,18,24
1901, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,23,15,23,21
1901, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,26,17,22,17
1901, 应当允许媒体代表某一特定阶层或利益集团发言。,16,27,12,27
1901, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,16,25,23,18
1901, 条件允许的话应该武力统一台湾。,12,27,21,22
1901, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,22,9,29,22
1901, 应该允许中国公民同时具有外国国籍。,16,27,14,25
1901, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,12,31,13,26
1901, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,23,17,24,18
1901, 最低工资应由国家规定。,19,25,19,19
1901, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,18,22,14,28
1901, 在重大工程项目的决策中，个人利益应该为社会利益让路。,21,21,10,30
1901, 浪费粮食也是个人的自由。,16,27,13,26
1901, 如果猪肉价格过高，政府应当干预。,18,15,22,27
1901, 应当对国外同类产品征收高额关税来保护国内民族工业。,17,20,14,31
1901, 教育应当尽可能公立。,11,27,16,28
1901, 国有企业的利益属于国家利益。,19,23,22,18
1901, 试图控制房地产价格的行为会破坏经济发展。,16,25,23,18
1901, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,11,29,20,22
1901, 有钱人理应获得更好的医疗服务。,14,27,11,30
1901, 高收入者应该公开自己的经济来源。,13,21,24,24
1901, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,22,17,21,22
1901, 与其让国有企业亏损破产，不如转卖给资本家。,25,19,15,23
1901, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,32,15,20,15
1901, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,13,22,19,28
1901, 私人应当可以拥有和买卖土地。,25,20,22,15
1901, 政府应当采用较高的粮食收购价格以增加农民收入。,24,20,24,14
1901, 在华外国资本应享受和民族资本同样的待遇。,12,25,13,32
1901, 市场竞争中自然形成的垄断地位是无害的。,27,17,20,18
1901, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,16,22,19,25
1901, 不应公开谈论自己长辈的缺点。,18,23,17,24
1901, 现代中国社会需要儒家思想。,10,32,19,21
1901, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,34,8,21,19
1901, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,16,27,15,24
1901, 周易八卦能够有效的解释很多事情。,14,23,22,23
1901, 中国传统医学对人体健康的观念比现代主流医学更高明。,26,17,23,16
1901, 汉字无需人为推行简化。,11,31,17,23
1901, 应当将中国传统文化的经典作品作为儿童基础教育读物。,19,32,14,17
1901, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,33,15,21,13
1986,如果人民没有受过民主教育，他们是不应该拥有普选权的。,1659,1799,445,812
1986, 人权高于主权。,1789,1511,947,468
1986, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1491,1704,822,698
1986, 西方的多党制不适合中国国情。,1584,2020,351,760
1986, 在中国照搬西方式的言论自由会导致社会失序。,2048,1451,746,470
1986, 由高校自主考试招生比全国统一考试招生更好。,1628,1654,843,590
1986, 应该容许宗教人士在非宗教场所公开传教。,1723,1757,236,999
1986, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1776,1437,705,797
1986, 国家的统一和领土完整是社会的最高利益。,1513,1503,1085,614
1986, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,2083,1949,162,521
1986, 国家有义务进行对外援助。,1823,1564,538,790
1986, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,2357,1221,771,366
1986, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,1528,1977,420,790
1986, 应当允许媒体代表某一特定阶层或利益集团发言。,1805,1532,257,1121
1986, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1931,1285,1144,355
1986, 条件允许的话应该武力统一台湾。,1364,2048,658,645
1986, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,1487,1432,1002,794
1986, 应该允许中国公民同时具有外国国籍。,1361,2414,529,411
1986, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,721,2673,321,1000
1986, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,2077,782,1600,256
1986, 最低工资应由国家规定。,1200,2027,577,911
1986, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,2359,1715,317,324
1986, 在重大工程项目的决策中，个人利益应该为社会利益让路。,2104,1678,296,637
1986, 浪费粮食也是个人的自由。,1239,2253,354,869
1986, 如果猪肉价格过高，政府应当干预。,1846,1422,543,904
1986, 应当对国外同类产品征收高额关税来保护国内民族工业。,1574,1869,203,1069
1986, 教育应当尽可能公立。,1268,2356,242,849
1986, 国有企业的利益属于国家利益。,2284,1498,676,257
1986, 试图控制房地产价格的行为会破坏经济发展。,929,2604,199,983
1986, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,985,2093,896,741
1986, 有钱人理应获得更好的医疗服务。,1363,2319,491,542
1986, 高收入者应该公开自己的经济来源。,1228,1994,969,524
1986, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2258,1364,550,543
1986, 与其让国有企业亏损破产，不如转卖给资本家。,1657,1750,296,1012
1986, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,2757,1056,648,254
1986, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,1520,2210,330,655
1986, 私人应当可以拥有和买卖土地。,1781,1678,954,302
1986, 政府应当采用较高的粮食收购价格以增加农民收入。,2159,1423,647,486
1986, 在华外国资本应享受和民族资本同样的待遇。,1200,2066,241,1208
1986, 市场竞争中自然形成的垄断地位是无害的。,2266,1550,547,352
1986, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,2243,1437,416,619
1986, 不应公开谈论自己长辈的缺点。,1717,1772,902,324
1986, 现代中国社会需要儒家思想。,928,2575,415,797
1986, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,2524,1128,576,487
1986, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,1002,2633,188,892
1986, 周易八卦能够有效的解释很多事情。,1693,1673,767,582
1986, 中国传统医学对人体健康的观念比现代主流医学更高明。,2448,1395,605,267
1986, 汉字无需人为推行简化。,940,2331,236,1208
1986, 应当将中国传统文化的经典作品作为儿童基础教育读物。,2316,1687,485,227
1986, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,2335,1600,506,274
1987,如果人民没有受过民主教育，他们是不应该拥有普选权的。,2035,2338,555,925
1987, 人权高于主权。,2262,1908,1137,546
1987, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1904,2135,945,869
1987, 西方的多党制不适合中国国情。,1877,2638,477,861
1987, 在中国照搬西方式的言论自由会导致社会失序。,2528,1842,910,573
1987, 由高校自主考试招生比全国统一考试招生更好。,2011,2049,1050,743
1987, 应该容许宗教人士在非宗教场所公开传教。,2223,2155,261,1214
1987, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2252,1809,817,975
1987, 国家的统一和领土完整是社会的最高利益。,1873,1923,1372,685
1987, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,2760,2288,223,582
1987, 国家有义务进行对外援助。,2369,1894,711,879
1987, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,3041,1456,931,425
1987, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,1901,2469,527,956
1987, 应当允许媒体代表某一特定阶层或利益集团发言。,2310,1880,281,1382
1987, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,2342,1628,1413,470
1987, 条件允许的话应该武力统一台湾。,1752,2491,825,785
1987, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,1866,1753,1185,1049
1987, 应该允许中国公民同时具有外国国籍。,1683,3027,595,548
1987, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,936,3271,414,1232
1987, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,2554,1011,2017,271
1987, 最低工资应由国家规定。,1495,2536,665,1157
1987, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,2825,2186,425,417
1987, 在重大工程项目的决策中，个人利益应该为社会利益让路。,2682,2067,349,755
1987, 浪费粮食也是个人的自由。,1497,2909,387,1060
1987, 如果猪肉价格过高，政府应当干预。,2276,1826,663,1088
1987, 应当对国外同类产品征收高额关税来保护国内民族工业。,1966,2376,214,1297
1987, 教育应当尽可能公立。,1618,2918,275,1042
1987, 国有企业的利益属于国家利益。,2853,1867,868,265
1987, 试图控制房地产价格的行为会破坏经济发展。,1141,3175,295,1242
1987, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,1189,2711,1044,909
1987, 有钱人理应获得更好的医疗服务。,1668,2950,560,675
1987, 高收入者应该公开自己的经济来源。,1540,2465,1225,623
1987, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,2803,1710,728,612
1987, 与其让国有企业亏损破产，不如转卖给资本家。,2181,2109,331,1232
1987, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,3479,1257,812,305
1987, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,1950,2688,403,812
1987, 私人应当可以拥有和买卖土地。,2332,2041,1115,365
1987, 政府应当采用较高的粮食收购价格以增加农民收入。,2789,1686,846,532
1987, 在华外国资本应享受和民族资本同样的待遇。,1619,2523,250,1461
1987, 市场竞争中自然形成的垄断地位是无害的。,2807,1975,637,434
1987, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,2781,1818,505,749
1987, 不应公开谈论自己长辈的缺点。,2078,2322,1056,397
1987, 现代中国社会需要儒家思想。,1131,3233,464,1025
1987, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,3241,1436,657,519
1987, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,1244,3287,191,1131
1987, 周易八卦能够有效的解释很多事情。,2178,2050,966,659
1987, 中国传统医学对人体健康的观念比现代主流医学更高明。,3109,1725,698,321
1987, 汉字无需人为推行简化。,1122,3083,308,1340
1987, 应当将中国传统文化的经典作品作为儿童基础教育读物。,2786,2228,542,297
1987, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,2758,2160,604,331
1984,如果人民没有受过民主教育，他们是不应该拥有普选权的。,1123,1223,313,603
1984, 人权高于主权。,1161,1047,690,364
1984, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1057,1125,616,464
1984, 西方的多党制不适合中国国情。,993,1479,250,540
1984, 在中国照搬西方式的言论自由会导致社会失序。,1318,1026,580,338
1984, 由高校自主考试招生比全国统一考试招生更好。,1158,1067,640,397
1984, 应该容许宗教人士在非宗教场所公开传教。,1259,1145,169,689
1984, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1179,1004,487,592
1984, 国家的统一和领土完整是社会的最高利益。,1042,1061,752,407
1984, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,1450,1330,122,360
1984, 国家有义务进行对外援助。,1218,1124,362,558
1984, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,1638,829,558,237
1984, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,1062,1360,311,529
1984, 应当允许媒体代表某一特定阶层或利益集团发言。,1216,1027,195,824
1984, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1269,919,825,249
1984, 条件允许的话应该武力统一台湾。,885,1395,522,460
1984, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,976,987,730,569
1984, 应该允许中国公民同时具有外国国籍。,988,1614,397,263
1984, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,449,1877,234,702
1984, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,1361,575,1141,185
1984, 最低工资应由国家规定。,823,1411,343,685
1984, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,1595,1199,213,255
1984, 在重大工程项目的决策中，个人利益应该为社会利益让路。,1394,1231,164,473
1984, 浪费粮食也是个人的自由。,911,1532,259,560
1984, 如果猪肉价格过高，政府应当干预。,1141,1034,360,727
1984, 应当对国外同类产品征收高额关税来保护国内民族工业。,1018,1334,138,772
1984, 教育应当尽可能公立。,912,1564,165,621
1984, 国有企业的利益属于国家利益。,1653,960,493,156
1984, 试图控制房地产价格的行为会破坏经济发展。,614,1853,163,632
1984, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,771,1407,587,497
1984, 有钱人理应获得更好的医疗服务。,888,1669,332,373
1984, 高收入者应该公开自己的经济来源。,830,1337,755,340
1984, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,1515,969,372,406
1984, 与其让国有企业亏损破产，不如转卖给资本家。,1126,1242,187,707
1984, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,1880,772,395,215
1984, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,1114,1482,207,459
1984, 私人应当可以拥有和买卖土地。,1287,1081,684,210
1984, 政府应当采用较高的粮食收购价格以增加农民收入。,1356,1070,466,370
1984, 在华外国资本应享受和民族资本同样的待遇。,867,1415,147,833
1984, 市场竞争中自然形成的垄断地位是无害的。,1536,1109,361,256
1984, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,1558,954,302,448
1984, 不应公开谈论自己长辈的缺点。,1165,1196,688,213
1984, 现代中国社会需要儒家思想。,683,1747,314,518
1984, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,1729,777,377,379
1984, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,701,1794,124,643
1984, 周易八卦能够有效的解释很多事情。,1156,1151,537,418
1984, 中国传统医学对人体健康的观念比现代主流医学更高明。,1688,913,461,200
1984, 汉字无需人为推行简化。,569,1617,184,892
1984, 应当将中国传统文化的经典作品作为儿童基础教育读物。,1683,1049,371,159
1984, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,1674,1032,373,183
1985,如果人民没有受过民主教育，他们是不应该拥有普选权的。,1253,1433,373,651
1985, 人权高于主权。,1323,1215,780,392
1985, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,1205,1244,704,557
1985, 西方的多党制不适合中国国情。,1201,1624,267,618
1985, 在中国照搬西方式的言论自由会导致社会失序。,1512,1152,671,375
1985, 由高校自主考试招生比全国统一考试招生更好。,1255,1263,715,477
1985, 应该容许宗教人士在非宗教场所公开传教。,1356,1351,215,788
1985, 无论中小学生或大学生，都应参加由国家统一安排的军训。,1386,1118,550,656
1985, 国家的统一和领土完整是社会的最高利益。,1175,1181,862,492
1985, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,1607,1505,152,446
1985, 国家有义务进行对外援助。,1417,1225,429,639
1985, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,1934,887,633,256
1985, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,1195,1555,372,588
1985, 应当允许媒体代表某一特定阶层或利益集团发言。,1371,1189,209,941
1985, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,1475,957,988,290
1985, 条件允许的话应该武力统一台湾。,1129,1531,556,494
1985, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,1120,1100,843,647
1985, 应该允许中国公民同时具有外国国籍。,1079,1853,435,343
1985, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,562,2104,257,787
1985, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,1552,659,1292,207
1985, 最低工资应由国家规定。,965,1631,414,700
1985, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,1844,1336,246,284
1985, 在重大工程项目的决策中，个人利益应该为社会利益让路。,1538,1366,257,549
1985, 浪费粮食也是个人的自由。,1009,1810,231,660
1985, 如果猪肉价格过高，政府应当干预。,1334,1153,436,787
1985, 应当对国外同类产品征收高额关税来保护国内民族工业。,1157,1511,166,876
1985, 教育应当尽可能公立。,1041,1784,175,710
1985, 国有企业的利益属于国家利益。,1789,1125,584,212
1985, 试图控制房地产价格的行为会破坏经济发展。,664,2105,190,751
1985, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,771,1698,751,490
1985, 有钱人理应获得更好的医疗服务。,1037,1853,406,414
1985, 高收入者应该公开自己的经济来源。,1014,1518,806,372
1985, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,1664,1092,486,468
1985, 与其让国有企业亏损破产，不如转卖给资本家。,1316,1350,205,839
1985, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,2103,869,511,227
