年收入,问题,同意,反对,强烈同意,强烈反对
300k+, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,3717,1873,890,682
300k+, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2119,3144,582,1317
300k+, 私人应当可以拥有和买卖土地。,2650,2150,1797,565
300k+, 政府应当采用较高的粮食收购价格以增加农民收入。,2822,2477,835,1028
300k+, 在华外国资本应享受和民族资本同样的待遇。,2290,2677,728,1467
300k+, 市场竞争中自然形成的垄断地位是无害的。,3087,2215,1257,603
300k+, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,3575,1594,1324,669
300k+, 不应公开谈论自己长辈的缺点。,2185,2693,1097,1187
300k+, 现代中国社会需要儒家思想。,1006,3349,503,2304
300k+, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,3850,1349,1303,660
300k+, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,1682,3632,520,1328
300k+, 周易八卦能够有效的解释很多事情。,2230,2626,1051,1255
300k+, 中国传统医学对人体健康的观念比现代主流医学更高明。,2870,2637,781,874
300k+, 汉字无需人为推行简化。,805,3321,363,2673
300k+, 应当将中国传统文化的经典作品作为儿童基础教育读物。,3261,2575,746,580
300k+, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,3389,2039,1232,502
150k-300k,如果人民没有受过民主教育，他们是不应该拥有普选权的。,3429,3310,1156,1563
150k-300k, 人权高于主权。,3602,2669,2323,864
150k-300k, 发生重大社会安全事件时，即使认为信息公开会导致骚乱的风险，政府仍应该开放信息传播。,3091,3150,1877,1340
150k-300k, 西方的多党制不适合中国国情。,2960,4188,755,1555
150k-300k, 在中国照搬西方式的言论自由会导致社会失序。,3803,3059,1485,1111
150k-300k, 由高校自主考试招生比全国统一考试招生更好。,3290,2968,2055,1145
150k-300k, 应该容许宗教人士在非宗教场所公开传教。,3973,3244,626,1615
150k-300k, 无论中小学生或大学生，都应参加由国家统一安排的军训。,2979,3051,1088,2340
150k-300k, 国家的统一和领土完整是社会的最高利益。,2706,3494,1724,1534
150k-300k, 哪怕经历了违反程序规定的审讯和取证过程，确实有罪的罪犯也应被处刑。,4431,3597,419,1011
150k-300k, 国家有义务进行对外援助。,3305,3360,933,1860
150k-300k, 国家领导人及开国领袖的形象可以作为文艺作品的丑化对象。,5111,1875,1914,558
150k-300k, 当法律未能充分制止罪恶行为时，人民群众有权自发对罪恶行为进行制裁。,3015,3887,880,1676
150k-300k, 应当允许媒体代表某一特定阶层或利益集团发言。,3971,2847,614,2026
150k-300k, 如果国家综合实力许可，那么中国有权为了维护自己的利益而采取任何行动。,3566,2851,2161,880
150k-300k, 条件允许的话应该武力统一台湾。,2342,4302,1049,1765
150k-300k, 律师即使明知被辩护人的犯罪事实也应当尽力为其进行辩护。,3252,2297,2608,1301
150k-300k, 应该允许中国公民同时具有外国国籍。,2887,4622,1220,729
150k-300k, 以美国为首的西方国家不可能真正容许中国崛起成为一流强国。,1222,5228,489,2519
150k-300k, 国家应当采取措施培养和支持体育健儿在各种国际比赛场合为国争光。,4024,2002,2799,633
150k-300k, 最低工资应由国家规定。,2083,4224,747,2404
150k-300k, 中国改革开放以来的经济发展的成果都被一小群人占有了，大多数人没得到什么好处。,4389,3606,640,823
150k-300k, 在重大工程项目的决策中，个人利益应该为社会利益让路。,4109,3326,567,1456
150k-300k, 浪费粮食也是个人的自由。,2167,4580,580,2131
150k-300k, 如果猪肉价格过高，政府应当干预。,3499,2950,1089,1920
150k-300k, 应当对国外同类产品征收高额关税来保护国内民族工业。,2746,3767,385,2560
150k-300k, 教育应当尽可能公立。,2079,4755,382,2242
150k-300k, 国有企业的利益属于国家利益。,4617,2801,1551,489
150k-300k, 试图控制房地产价格的行为会破坏经济发展。,1927,5171,569,1791
150k-300k, 改善低收入者生活的首要手段是国家给予财政补贴和扶持。,2024,4090,1803,1541
150k-300k, 有钱人理应获得更好的医疗服务。,2532,4858,980,1088
150k-300k, 高收入者应该公开自己的经济来源。,2254,4274,1560,1370
150k-300k, 靠运作资金赚钱的人对社会的贡献比不上靠劳动赚钱的人。,4158,2956,1126,1218
150k-300k, 与其让国有企业亏损破产，不如转卖给资本家。,3707,3239,749,1763
150k-300k, 那些关系到国家安全、以及其他重要国计民生的领域，必须全部由国有企业掌控。,5249,2508,995,706
150k-300k, 资本积累的过程总是伴随着对普通劳动人民利益的伤害。,2862,4602,562,1432
150k-300k, 私人应当可以拥有和买卖土地。,3750,3014,2138,556
150k-300k, 政府应当采用较高的粮食收购价格以增加农民收入。,4070,3282,1003,1103
150k-300k, 在华外国资本应享受和民族资本同样的待遇。,3024,3799,613,2022
150k-300k, 市场竞争中自然形成的垄断地位是无害的。,4546,3001,1315,596
150k-300k, 两个成年人之间自愿的性行为是其自由，无论其婚姻关系为何。,4988,2401,1237,832
150k-300k, 不应公开谈论自己长辈的缺点。,3034,3858,1583,983
150k-300k, 现代中国社会需要儒家思想。,1625,4860,608,2365
150k-300k, 判断艺术作品的价值的根本标准是看是不是受到人民大众喜爱。,5400,1967,1251,840
150k-300k, 即使有人口压力，国家和社会也无权干涉个人要不要孩子，要几个孩子。,2335,5056,458,1609
150k-300k, 周易八卦能够有效的解释很多事情。,3215,3632,1287,1324
150k-300k, 中国传统医学对人体健康的观念比现代主流医学更高明。,4294,3441,929,794
150k-300k, 汉字无需人为推行简化。,1237,4869,375,2977
150k-300k, 应当将中国传统文化的经典作品作为儿童基础教育读物。,4449,3600,825,584
150k-300k, 如果是出于自愿，我会认可我的孩子和同性结成伴侣关系。,4721,3000,1269,468
